Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit
1900-01-01;CA-2017-152156;2017-11-08;2017-11-11;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;2016-02-20;South;FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;1900-09-17;1900-01-02;1900-01-00;1900-02-10
1900-01-02;CA-2017-152156;2017-11-08;2017-11-11;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;2016-02-20;South;FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;1901-12-31;1900-01-03;1900-01-00;1900-08-06
1900-01-03;CA-2017-138688;2017-06-12;2017-06-16;Second Class;DV-13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;2146-07-04;West;OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;1900-01-14;1900-01-02;1900-01-00;1900-01-06
1900-01-04;US-2016-108966;2016-10-11;2016-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;1991-03-14;South;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1902-08-14;1900-01-05;1900-01-00;###############################################################################################################################################################################################################################################################
1900-01-05;US-2016-108966;2016-10-11;2016-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;1991-03-14;South;OFF-ST-10000760;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;1900-01-22;1900-01-02;1900-01-00;1900-01-02
1900-01-06;CA-2015-115812;2015-06-09;2015-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;2146-06-30;West;FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;1900-02-17;1900-01-07;1900-01-00;1900-01-14
1900-01-07;CA-2015-115812;2015-06-09;2015-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;2146-06-30;West;OFF-AR-10002833;Office Supplies;Art;Newell 322;1900-01-07;1900-01-04;1900-01-00;1900-01-01
1900-01-08;CA-2015-115812;2015-06-09;2015-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;2146-06-30;West;TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;1902-06-25;1900-01-06;1900-01-00;1900-03-30
1900-01-09;CA-2015-115812;2015-06-09;2015-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;2146-06-30;West;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;1900-01-18;1900-01-03;1900-01-00;1900-01-05
1900-01-10;CA-2015-115812;2015-06-09;2015-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;2146-06-30;West;OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;1900-04-23;1900-01-05;1900-01-00;1900-02-03
